FOLIO_INT,h0302,h0303,h0402,entidad1,desc_ent1,municipio1,desc_mun1,ponde_f,estrato
2022_09007180_04,1,34, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"5341,18107681626",3
2022_09007180_05,2,26, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"5616,06858633985",3
2022_09007182_01,1,87,16,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3373,01374723607",3
2022_09007183_01,1,83, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3373,01374723607",3
2022_09007183_02,2,79,16,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3134,56063061767",3
2022_09007184_01,1,70, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3373,01374723607",3
2022_09007187_01,1,75,44,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3373,01374723607",3
2022_09007187_02,2,83, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3134,56063061767",3
2022_09007187_03,2,53, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3134,56063061767",3
2022_09007187_04,1,52, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3373,01374723607",3
2022_09007187_05,1,50, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3373,01374723607",3
2022_09007187_06,2,13, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4643,45244830813",3
2022_09007187_07,2,10, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4643,45244830813",3
2022_09007188_01,1,71,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3140,312662215",3
2022_09007188_02,2,51,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2918,31020459828",3
2022_09007188_03,2,50, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2918,31020459828",3
2022_09007189_01,2,83, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2918,31020459828",3
2022_09007190_01,2,45, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2918,31020459828",3
2022_09007190_02,2,11, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4323,10497748905",3
2022_09007191_01,1,62, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3140,312662215",3
2022_09007191_02,2,58,16,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2918,31020459828",3
2022_09007191_03,2,36,2,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4518,35026240205",3
2022_09007191_04,1,30, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4297,19234175129",3
2022_09007191_05,1,15,56,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3801,50947989184",3
2022_09007191_06,1,13, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3801,50947989184",3
2022_09007193_01,2,72, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2918,31020459828",3
2022_09007193_02,2,48, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2918,31020459828",3
2022_09007193_03,1,22, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4297,19234175129",3
2022_09007193_04,2,19, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4323,10497748905",3
2022_09007194_01,1,77,27,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3140,312662215",3
2022_09007194_02,2,72, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2918,31020459828",3
2022_09007195_01,1,50, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3331,46212861069",3
2022_09007195_02,2,51, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3095,94647792165",3
2022_09007195_03,2,19, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4586,25049785795",3
2022_09007195_04,1,16, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4032,90570910265",3
2022_09007196_01,2,71, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3095,94647792165",3
2022_09007196_02,2,50, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3095,94647792165",3
2022_09007196_03,2,27, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4793,38027837435",3
2022_09007196_04,1,25, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4558,7605712492",3
2022_09007196_05,2,11, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4586,25049785795",3
2022_09007196_06,1,10, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4032,90570910265",3
2022_09007196_07,1,7, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4716,32553756749",3
2022_09007196_08,1,4, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"7441,79163004793",3
2022_09007197_01,2,68, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3095,94647792165",3
2022_09007197_02,1,62, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3331,46212861069",3
2022_09007197_03,2,45, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3095,94647792165",3
2022_09007197_04,2,15, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4586,25049785795",3
2022_09007198_01,1,50,54,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3331,46212861069",3
2022_09007198_02,1,73,27,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3331,46212861069",3
