FOLIO_INT,h0302,h0303,h0402,entidad1,desc_ent1,municipio1,desc_mun1,ponde_f,estrato
2022_01001001_01,2,51,55,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"706,78491885843",3
2022_01001001_02,2,14,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"937,020931828615",3
2022_01001002_01,1,60, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"760,861696609056",3
2022_01001002_02,2,60, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"706,78491885843",3
2022_01001003_01,2,64,46,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"706,78491885843",3
2022_01001003_02,1,65, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"760,861696609056",3
2022_01001003_03,2,37, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"940,792931656827",3
2022_01001003_04,1,16, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"769,057604486223",3
2022_01001003_05,1,15, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"769,057604486223",3
2022_01001003_06,2,10, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"937,020931828615",3
2022_01001004_01,2,41, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"940,792931656827",3
2022_01001004_02,1,44,17,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"978,865342537466",3
2022_01001004_03,1,0,30,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1070,47406004065",3
2022_01001005_01,1,51,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"760,861696609056",3
2022_01001005_02,2,48,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"706,78491885843",3
2022_01001006_01,1,45, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"760,861696609056",3
2022_01001006_02,2,44,17,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"940,792931656827",3
2022_01001006_03,1,21, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"978,865342537466",3
2022_01001006_04,2,17, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"937,020931828615",3
2022_01001006_05,2,15,30,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"937,020931828615",3
2022_01001006_06,1,9,28,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1353,78744241823",3
2022_01001007_01,1,33, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"978,865342537466",3
2022_01001007_02,2,28, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"940,792931656827",3
2022_01001007_03,2,7, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"980,022035550407",3
2022_01001007_04,1,1, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1070,47406004065",3
2022_01001008_01,1,58,55,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001008_02,2,56,15,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001008_03,2,29,53,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1128,90802316935",3
2022_01001008_04,2,86,17,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001009_01,2,86, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001009_02,2,65,54,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001009_03,1,61, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001010_01,1,92, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001010_02,2,83, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001010_03,2,58, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001010_04,1,30, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1174,59315605917",3
2022_01001011_01,1,66, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001011_02,2,70,52,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001011_03,1,18, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"922,833570246875",3
2022_01001011_04,1,16, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"922,833570246875",3
2022_01001012_01,1,72,55,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001012_02,2,68,55,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001012_03,1,35,45,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1174,59315605917",3
2022_01001013_01,1,35, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1174,59315605917",3
2022_01001013_02,2,53,27,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"848,109226489623",3
2022_01001013_03,1,86,57,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"912,998859708185",3
2022_01001013_04,2,30, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1128,90802316935",3
2022_01001013_05,2,16, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1124,38179776291",3
2022_01001013_06,2,9, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1175,98113419837",3
2022_01001013_07,2,2,28,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1453,32059163552",3
2022_01001014_01,1,26,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1174,59315605917",3
2022_01001014_02,2,25,32,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1128,90802316935",3
2022_01001014_03,1,4,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1284,51938180097",3
2022_01001015_01,2,65, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"616,681104680752",3
2022_01001016_01,1,72, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"663,863955009101",3
2022_01001016_02,2,62, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"616,681104680752",3
2022_01001016_03,1,43, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"854,075610080496",3
2022_01001016_04,2,37, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"820,856824883928",3
2022_01001016_05,1,36, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"854,075610080496",3
2022_01001016_06,1,18, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"671,015015237885",3
2022_01001016_07,2,18, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"817,565694925079",3
2022_01001016_08,1,17, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"671,015015237885",3
2022_01001016_09,2,16, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"817,565694925079",3
2022_01001016_10,2,14, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"817,565694925079",3
2022_01001016_11,1,10, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"671,015015237885",3
2022_01001016_12,1,9, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1181,20111680061",3
2022_01001016_13,1,4, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"934,005675933478",3
2022_01001017_01,2,48, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"616,681104680752",3
2022_01001017_02,2,70, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"616,681104680752",3
2022_01001017_03,1,52, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"663,863955009101",3
2022_01001017_04,1,24, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"854,075610080496",3
2022_01001017_05,1,18, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"671,015015237885",3
2022_01001018_01,1,25, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"854,075610080496",3
2022_01001018_02,1,65, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"663,863955009101",3
2022_01001018_03,2,22, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"820,856824883928",3
2022_01001018_04,2,0, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1056,74519261469",3
2022_01001019_01,2,79, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"616,681104680752",3
2022_01001019_02,1,60, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"663,863955009101",3
2022_01001019_03,2,58, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"616,681104680752",3
2022_01001019_04,1,48, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"663,863955009101",3
2022_01001019_05,2,20, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"820,856824883928",3
2022_01001019_06,1,0, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"934,005675933478",3
2022_01001020_01,2,62, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"616,681104680752",3
2022_01001020_02,1,61, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"663,863955009101",3
2022_01001020_03,1,46, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"663,863955009101",3
2022_01001020_04,2,41, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"820,856824883928",3
2022_01001020_05,2,18, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"817,565694925079",3
2022_01001020_06,1,13, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"671,015015237885",3
2022_01001020_07,1,10, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"671,015015237885",3
2022_01001020_08,1,2, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"934,005675933478",3
2022_01001021_01,1,75,52,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"663,863955009101",3
2022_01001021_02,2,67, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"616,681104680752",3
2022_01001022_01,2,43, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1200,14336406368",3
2022_01001022_02,2,17, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1195,33152884389",3
2022_01001023_01,1,71, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"970,610094346117",3
2022_01001023_02,2,67, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"901,625853729996",3
2022_01001023_03,1,38, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1248,71127920717",3
2022_01001024_01,2,30, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1200,14336406368",3
2022_01001024_02,2,72, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"901,625853729996",3
2022_01001024_03,2,12, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1195,33152884389",3
2022_01001025_01,2,75, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"901,625853729996",3
2022_01001025_02,1,58, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"970,610094346117",3
2022_01001025_03,2,53, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"901,625853729996",3
2022_01001026_01,1,28, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1248,71127920717",3
2022_01001026_02,2,25,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1200,14336406368",3
2022_01001027_01,1,76, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"970,610094346117",3
2022_01001028_01,1,50, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"970,610094346117",3
2022_01001028_02,2,45, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"901,625853729996",3
2022_01001028_03,1,33, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1248,71127920717",3
2022_01001028_04,2,26, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1200,14336406368",3
2022_01001028_05,1,23, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1248,71127920717",3
2022_01001028_06,1,2,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1365,57397098804",3
2022_01001029_01,2,71,27,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"796,094645850235",3
2022_01001029_02,1,25, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1102,55529993633",3
2022_01001032_01,1,76, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"857,004594666969",3
2022_01001032_02,2,76,17,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"796,094645850235",3
2022_01001033_01,2,75, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"796,094645850235",3
2022_01001033_02,1,52, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"857,004594666969",3
2022_01001033_03,2,47, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"796,094645850235",3
2022_01001033_04,1,19, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"866,236141923853",3
2022_01001034_01,1,35, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1102,55529993633",3
2022_01001034_02,2,29, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1059,67203849714",3
2022_01001034_03,1,12, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"866,236141923853",3
2022_01001034_04,1,5, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1524,85276039727",3
2022_01001034_05,2,3, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1364,18836815836",3
2022_01001035_01,1,38, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1102,55529993633",3
2022_01001035_02,2,35, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1059,67203849714",3
2022_01001035_03,2,64,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"796,094645850235",3
2022_01001035_04,2,17, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1055,42340671784",3
2022_01001035_05,1,14, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"866,236141923853",3
2022_01001035_06,2,10, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1055,42340671784",3
2022_01001036_01,1,58, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1022,9815812207",3
2022_01001037_01,2,27,2,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1264,89984331812",3
2022_01001037_02,1,7,2,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1820,17260778645",3
2022_01001037_03,1,3,2,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1439,25663688494",3
2022_01001037_04,1,3, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1439,25663688494",3
2022_01001037_05,1,1, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1439,25663688494",3
2022_01001038_01,2,42, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1264,89984331812",3
2022_01001039_01,2,70,30,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"950,275138174347",3
2022_01001039_02,1,29, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1316,08835137042",3
2022_01001039_03,1,8, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1820,17260778645",3
2022_01001040_01,2,92, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"950,275138174347",3
2022_01001040_02,2,50, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"950,275138174347",3
2022_01001041_01,1,63, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1022,9815812207",3
2022_01001041_02,2,62,16,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"950,275138174347",3
2022_01001041_03,1,45, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1022,9815812207",3
2022_01001041_04,1,12,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1034,00101200173",3
2022_01001042_01,2,62,52,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"950,275138174347",3
2022_01001042_02,2,36, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1264,89984331812",3
2022_01001042_03,1,37,30,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1316,08835137042",3
2022_01001042_04,1,17, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1034,00101200173",3
2022_01001042_05,1,14,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1034,00101200173",3
2022_01001042_06,1,9, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1820,17260778645",3
2022_01001043_01,2,52,2,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1079,99354729356",3
2022_01001043_02,1,39, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1495,7425171398",3
2022_01001043_03,1,18, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1175,14851856725",3
2022_01001046_01,1,47, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1162,62486761577",3
2022_01001046_02,2,46, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1079,99354729356",3
2022_01001046_03,1,16, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1175,14851856725",3
2022_01001046_04,1,12, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1175,14851856725",3
2022_01001048_01,1,76,54,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1162,62486761577",3
2022_01001048_02,2,44, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1437,5664624676",3
2022_01001048_03,1,20, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1495,7425171398",3
2022_01001048_04,1,23, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1495,7425171398",3
2022_01001052_01,2,72,44,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1036,3574443726",3
2022_01001052_02,2,52, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1036,3574443726",3
2022_01001053_01,2,58, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1036,3574443726",3
2022_01001053_02,2,39, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1379,48296903456",3
2022_01001053_03,2,16, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1373,95209252908",3
2022_01001053_04,1,11, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1127,66777034231",3
2022_01001053_05,2,10, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1373,95209252908",3
2022_01001053_06,1,1, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1569,63417233454",3
2022_01001055_01,1,70,54,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1115,65012548988",3
2022_01001055_02,2,67, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1036,3574443726",3
2022_01001055_03,1,45, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1115,65012548988",3
2022_01001056_01,2,76, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1036,3574443726",3
2022_01001056_02,1,49, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1115,65012548988",3
2022_01001056_03,2,56, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1036,3574443726",3
2022_01001057_01,2,49,17,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1074,60081371189",3
2022_01001057_02,1,54,45,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1156,81953092448",3
2022_01001057_03,2,19, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1424,65328410579",3
2022_01001057_04,2,17, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1424,65328410579",3
2022_01001060_01,2,21,57,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1430,38825945199",3
2022_01001060_02,1,2, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1627,55636868302",3
2022_01001063_01,1,30, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1488,27382353333",3
2022_01001063_02,2,33, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1430,38825945199",3
2022_01001063_03,2,5, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1490,03246781076",3
2022_01001063_04,2,2,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1841,43674137341",3
2022_01001064_01,2,77, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"862,179722629309",3
2022_01001065_01,2,21, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1147,6370918859",3
2022_01001065_02,2,4, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1477,43180412518",3
2022_01001065_03,1,2, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1305,83010975731",3
2022_01001066_01,2,45,15,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"862,179722629309",3
2022_01001066_02,2,43, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1147,6370918859",3
2022_01001066_03,1,41, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1194,08016074186",3
2022_01001066_04,2,39,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1147,6370918859",3
2022_01001066_05,1,21, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1194,08016074186",3
2022_01001066_06,1,17, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"938,143775326798",3
2022_01001066_07,2,12, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1143,03577445697",3
2022_01001066_08,1,11, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"938,143775326798",3
2022_01001067_01,1,42, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1194,08016074186",3
2022_01001067_02,2,41, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1147,6370918859",3
2022_01001067_03,1,14, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"938,143775326798",3
2022_01001067_04,2,10, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1143,03577445697",3
2022_01001067_05,1,1, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1305,83010975731",3
2022_01001068_01,2,68,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"862,179722629309",3
2022_01001069_01,1,65, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"928,145902718475",3
2022_01001069_02,2,60, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"862,179722629309",3
2022_01001070_01,2,79, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"862,179722629309",3
2022_01001070_02,1,53, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"928,145902718475",3
2022_01001070_03,2,50, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"862,179722629309",3
2022_01001070_04,2,19, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1143,03577445697",3
2022_01001070_05,1,17, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"938,143775326798",3
2022_01001070_06,2,10, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1143,03577445697",3
2022_01001071_01,2,92, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1198,72711780737",3
2022_01001071_02,2,64, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1198,72711780737",3
2022_01001071_03,2,54, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1198,72711780737",3
2022_01001071_04,1,51, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1290,44285508996",3
2022_01001072_01,1,36, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1660,18317521075",3
2022_01001072_02,2,35, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1595,61129464963",3
2022_01001072_03,2,8, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1662,14495912067",3
2022_01001072_04,1,1,1,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1815,55413880741",3
2022_01001073_01,1,26,48,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1660,18317521075",3
2022_01001073_02,2,28,30,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1595,61129464963",3
2022_01001074_01,2,36, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1595,61129464963",3
2022_01001074_02,1,46, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1290,44285508996",3
2022_01001074_03,2,21, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1595,61129464963",3
2022_01001074_04,2,18, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1589,21387676224",3
2022_01001074_05,1,13, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1304,34334555781",3
2022_01001075_01,1,33, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1660,18317521075",3
2022_01001075_02,2,33, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1595,61129464963",3
2022_01001075_03,2,11, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1589,21387676224",3
2022_01001077_01,2,32, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1595,61129464963",3
2022_01001077_02,1,38, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1660,18317521075",3
2022_01001077_03,2,12, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1589,21387676224",3
2022_01001077_04,2,11, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1589,21387676224",3
2022_01001077_05,1,4, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1815,55413880741",3
2022_01001079_01,1,42, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1480,65939931991",3
2022_01001079_02,2,43, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1423,06999393851",3
2022_01001079_03,1,17, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1163,29828140523",3
2022_01001079_04,1,14, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1163,29828140523",3
2022_01001079_05,1,12,55,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1163,29828140523",3
2022_01001081_01,1,63,57,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1150,90091937091",3
2022_01001081_02,2,60,45,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1069,10285606034",3
2022_01001083_01,2,49, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1069,10285606034",3
2022_01001083_02,1,26, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1480,65939931991",3
2022_01001083_03,2,23, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1423,06999393851",3
2022_01001083_04,1,16, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1163,29828140523",3
2022_01001084_01,1,33, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1480,65939931991",3
2022_01001084_02,2,31,15,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1423,06999393851",3
2022_01001084_03,2,12, ,1,01 AGUASCALIENTES,1,001 AGUASCALIENTES,"1417,36436032664",3
